Case ID,DSR actual,DSR pred (original),DSR pred (CF1),DSR reduction,Feature,Original value,CF1 value,Change (abs),Change (%)
1,0.6667,0.549,0.1621,0.3869,Employment status,2.0,6.5,4.5,225.0
1,0.6667,0.549,0.1621,0.3869,Regular wage income (10k KRW),3769.0,8880.3,5111.3,135.6
3,0.4125,1.5193,0.1831,1.3362,Temporary wage income (10k KRW),480.0,12065.4,11585.4,2413.6
12,0.5801,0.2946,0.072,0.2226,Other debt (10k KRW),0.0,2684.5,2684.5,
12,0.5801,0.2946,0.072,0.2226,Housing tenure type,1.0,1.7,0.7,70.0
16,0.7675,0.142,0.107,0.035,Employment status,2.0,2.9,0.9,45.0
24,0.6891,3.2989,0.1818,3.1171,Employment status,9.0,6.8,-2.2,-24.4
24,0.6891,3.2989,0.1818,3.1171,Temporary wage income (10k KRW),460.0,11344.4,10884.4,2366.2
24,0.6891,3.2989,0.1818,3.1171,Age,25.0,21.9,-3.1,-12.4
28,0.7166,0.1161,0.0697,0.0464,Credit card debt (10k KRW),0.0,3424.0,3424.0,
28,0.7166,0.1161,0.0697,0.0464,Age,33.0,27.9,-5.1,-15.5
31,5.0,2.315,0.0203,2.2947,Education level,7.0,5.0,-2.0,-28.6
31,5.0,2.315,0.0203,2.2947,Regular wage income (10k KRW),3769.0,14263.8,10494.8,278.5
31,5.0,2.315,0.0203,2.2947,Temporary wage income (10k KRW),1050.0,4699.1,3649.1,347.5
31,5.0,2.315,0.0203,2.2947,Side job income (10k KRW),0.0,1466.8,1466.8,
31,5.0,2.315,0.0203,2.2947,Household regular income (10k KRW),33732.0,20653.5,-13078.5,-38.8
31,5.0,2.315,0.0203,2.2947,Household disposable income (10k KRW),32664.0,11171.2,-21492.8,-65.8
31,5.0,2.315,0.0203,2.2947,Financial institution loan (10k KRW),21600.0,44535.1,22935.1,106.2
35,5.0,2.1011,0.0529,2.0482,Temporary wage income (10k KRW),512.0,10160.2,9648.2,1884.4
35,5.0,2.1011,0.0529,2.0482,Lease deposit debt (10k KRW),3400.0,75885.6,72485.6,2131.9
35,5.0,2.1011,0.0529,2.0482,Housing debt balance (10k KRW),10000.0,48811.3,38811.3,388.1
35,5.0,2.1011,0.0529,2.0482,Age,21.0,27.0,6.0,28.6
42,3.0,2.2636,0.1601,2.1035,Sex,2.0,1.2,-0.8,-40.0
42,3.0,2.2636,0.1601,2.1035,Employment status,9.0,3.9,-5.1,-56.7
42,3.0,2.2636,0.1601,2.1035,Regular wage income (10k KRW),3769.0,14115.1,10346.1,274.5
42,3.0,2.2636,0.1601,2.1035,Temporary wage income (10k KRW),800.0,6156.9,5356.9,669.6
42,3.0,2.2636,0.1601,2.1035,Lease deposit debt (10k KRW),0.0,5353.6,5353.6,
42,3.0,2.2636,0.1601,2.1035,Housing debt balance (10k KRW),19000.0,5877.8,-13122.2,-69.1
45,2.6219,2.3694,0.1843,2.1851,Employment status,9.0,2.5,-6.5,-72.2
45,2.6219,2.3694,0.1843,2.1851,Regular wage income (10k KRW),3769.0,9330.9,5561.9,147.6
45,2.6219,2.3694,0.1843,2.1851,Temporary wage income (10k KRW),320.0,3994.2,3674.2,1148.2
45,2.6219,2.3694,0.1843,2.1851,Total debt (10k KRW),11000.0,23047.6,12047.6,109.5
