Case ID,DSR actual,DSR pred orig,CF1 pred DSR,CF1 n_changes,CF1 features,CF2 pred DSR,CF2 n_changes,CF2 features,CF3 pred DSR,CF3 n_changes,CF3 features
1,0.6667,0.549,0.0745,2,Financial institution loan (10k KRW) | Age,0.1459,2,Regular wage income (10k KRW) | Side job income (10k KRW),0.0629,2,Financial institution loan (10k KRW) | Private loan (10k KRW)
3,0.4125,1.5193,0.1831,2,Sex | Temporary wage income (10k KRW),0.1831,1,Temporary wage income (10k KRW),0.1013,2,Temporary wage income (10k KRW) | Other debt (10k KRW)
12,0.5801,0.2946,0.1998,1,Temporary wage income (10k KRW),0.1477,2,Employment type | Housing tenure type,0.163,1,Regular wage income (10k KRW)
16,0.7675,0.142,0.0568,2,Regular wage income (10k KRW) | Other debt (10k KRW),0.101,1,Other debt (10k KRW),0.1384,1,Total debt (10k KRW)
24,0.6891,3.2989,0.1564,4,Employment status | Temporary wage income (10k KRW) | Household regular income (10k KRW) | Financial institution loan (10k KRW),0.112,4,Education level | Employment status | Temporary wage income (10k KRW) | Housing tenure type,0.1097,5,Employment status | Temporary wage income (10k KRW) | Side job income (10k KRW) | Household regular income (10k KRW) | Age
28,0.7166,0.1161,0.1149,1,Total debt (10k KRW),0.1868,2,Side job income (10k KRW) | Total debt (10k KRW),0.1143,1,Housing tenure type
31,5.0,2.315,0.136,7,Education level | Temporary wage income (10k KRW) | Household regular income (10k KRW) | Household disposable income (10k KRW) | Credit card debt (10k KRW) | Lease deposit debt (10k KRW) | Housing tenure type,0.0976,9,Sex | Marital status | Employment status | Employment type | Temporary wage income (10k KRW) | Household disposable income (10k KRW) | Financial institution loan (10k KRW) | Lease deposit debt (10k KRW) | Housing debt balance (10k KRW),0.1896,8,Education level | Temporary wage income (10k KRW) | Household regular income (10k KRW) | Household disposable income (10k KRW) | Financial institution loan (10k KRW) | Credit card debt (10k KRW) | Lease deposit debt (10k KRW) | Housing tenure type
35,5.0,2.1011,0.0484,4,Region | Employment type | Temporary wage income (10k KRW) | Lease deposit debt (10k KRW),0.1457,5,Region | Temporary wage income (10k KRW) | Lease deposit debt (10k KRW) | Credit purchase debt (10k KRW) | Housing debt balance (10k KRW),0.1527,5,Region | Employment type | Temporary wage income (10k KRW) | Private loan (10k KRW) | Lease deposit debt (10k KRW)
42,3.0,2.2636,0.1473,9,Education level | Employment status | Employment type | Temporary wage income (10k KRW) | Household disposable income (10k KRW) | Financial institution loan (10k KRW) | Credit card debt (10k KRW) | Lease deposit debt (10k KRW) | Housing debt balance (10k KRW),0.1449,10,Sex | Employment status | Employment type | Regular wage income (10k KRW) | Temporary wage income (10k KRW) | Credit card debt (10k KRW) | Lease deposit debt (10k KRW) | Credit purchase debt (10k KRW) | Other debt (10k KRW) | Housing debt balance (10k KRW),0.1007,10,Sex | Marital status | Employment status | Regular wage income (10k KRW) | Temporary wage income (10k KRW) | Household disposable income (10k KRW) | Financial institution loan (10k KRW) | Private loan (10k KRW) | Age | Total debt (10k KRW)
45,2.6219,2.3694,0.0803,4,Employment status | Temporary wage income (10k KRW) | Private loan (10k KRW) | Age,0.1486,4,Employment status | Temporary wage income (10k KRW) | Other debt (10k KRW) | Housing debt balance (10k KRW),0.0803,3,Employment status | Temporary wage income (10k KRW) | Age
