Feature,CF1 frequency,All CFs frequency,Consensus
Temporary wage income (10k KRW),6,19,High
Employment status,5,10,High
Lease deposit debt (10k KRW),2,8,Medium
Financial institution loan (10k KRW),1,7,Medium
Employment type,0,6,Medium
Age,3,5,Medium
Regular wage income (10k KRW),4,5,Medium
Other debt (10k KRW),1,5,Medium
Housing tenure type,1,5,Medium
Housing debt balance (10k KRW),2,5,Medium
Household disposable income (10k KRW),1,5,Medium
Sex,1,4,Medium
Household regular income (10k KRW),1,4,Medium
Credit card debt (10k KRW),1,4,Medium
Education level,1,4,Medium
Private loan (10k KRW),0,4,Medium
Total debt (10k KRW),1,4,Medium
Side job income (10k KRW),1,3,Low
Region,0,3,Low
Marital status,0,2,Low
Credit purchase debt (10k KRW),0,2,Low
