sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt,type,case_id,cf_id,dsr_actual
2.0,6.0,5.0,2.0,2.0,1.0,3769.0,2520.0,0.0,5648.0,5108.0,26500.0,0.0,0.0,0.0,0.0,0.0,26500.0,1.0,26.0,26500.0,original,1,0,0.6667
2.0,6.0,5.0,2.0,2.0,1.0,3769.0,2520.0,0.0,5648.0,5108.0,5256.3,0.0,0.0,0.0,0.0,0.0,26500.0,1.0,29.1,26500.0,CF1,1,1,0.6667
2.0,6.0,5.0,2.0,2.0,1.0,14749.1,2520.0,1971.4,5648.0,5108.0,26500.0,0.0,0.0,0.0,0.0,0.0,26500.0,1.0,26.0,26500.0,CF2,1,2,0.6667
2.0,6.0,5.0,2.0,2.0,1.0,3769.0,2520.0,0.0,5648.0,5108.0,708.6,11885.0,0.0,0.0,0.0,0.0,26500.0,1.0,26.0,26500.0,CF3,1,3,0.6667
2.0,6.0,5.0,2.0,9.0,1.0,3769.0,480.0,0.0,5969.0,5633.0,10550.0,0.0,0.0,0.0,0.0,0.0,8550.0,2.0,22.0,10550.0,original,3,0,0.4125
1.6,6.0,5.0,2.0,9.0,1.0,3769.0,10757.8,0.0,5969.0,5633.0,10550.0,0.0,0.0,0.0,0.0,0.0,8550.0,2.0,22.0,10550.0,CF1,3,1,0.4125
2.0,6.0,5.0,2.0,9.0,1.0,3769.0,7179.6,0.0,5969.0,5633.0,10550.0,0.0,0.0,0.0,0.0,0.0,8550.0,2.0,22.0,10550.0,CF2,3,2,0.4125
2.0,6.0,5.0,2.0,9.0,1.0,3769.0,5018.5,0.0,5969.0,5633.0,10550.0,0.0,0.0,0.0,0.0,8468.1,8550.0,2.0,22.0,10550.0,CF3,3,3,0.4125
2.0,4.0,3.0,2.0,2.0,2.0,3769.0,3310.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1.0,33.0,26200.0,original,12,0,0.5801
2.0,4.0,3.0,2.0,2.0,2.0,3769.0,10381.4,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1.0,33.0,26200.0,CF1,12,1,0.5801
2.0,4.0,3.0,2.0,2.0,1.9,3769.0,3310.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,2.9,33.0,26200.0,CF2,12,2,0.5801
2.0,4.0,3.0,2.0,2.0,2.0,10898.1,3310.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1.0,33.0,26200.0,CF3,12,3,0.5801
2.0,6.0,1.0,3.0,2.0,1.0,3769.0,2856.0,0.0,6863.0,5759.0,2460.0,0.0,0.0,0.0,234.0,0.0,4260.0,1.0,38.0,2694.0,original,16,0,0.7675
2.0,6.0,1.0,3.0,2.0,1.0,12090.6,2856.0,0.0,6863.0,5759.0,2460.0,0.0,0.0,0.0,234.0,9779.9,4260.0,1.0,38.0,2694.0,CF1,16,1,0.7675
2.0,6.0,1.0,3.0,2.0,1.0,3769.0,2856.0,0.0,6863.0,5759.0,2460.0,0.0,0.0,0.0,234.0,7694.2,4260.0,1.0,38.0,2694.0,CF2,16,2,0.7675
2.0,6.0,1.0,3.0,2.0,1.0,3769.0,2856.0,0.0,6863.0,5759.0,2460.0,0.0,0.0,0.0,234.0,0.0,4260.0,1.0,38.0,41574.2,CF3,16,3,0.7675
2.0,7.0,5.0,2.0,9.0,1.0,3769.0,460.0,0.0,8102.0,7298.0,19960.0,0.0,0.0,0.0,0.0,0.0,19960.0,1.0,25.0,19960.0,original,24,0,0.6891
