sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt,type,case_id,dsr_actual
2.0,6.0,5.0,2.0,2.0,1.0,3769.0,2520.0,0.0,5648.0,5108.0,26500.0,0.0,0.0,0.0,0.0,0.0,26500.0,1.0,26.0,26500.0,original,1,0.6667
2.0,6.0,5.0,2.0,6.5,1.0,8880.3,2520.0,0.0,5648.0,5108.0,26500.0,0.0,0.0,0.0,0.0,0.0,26500.0,1.0,26.0,26500.0,CF1,1,0.6667
2.0,6.0,5.0,2.0,2.0,1.0,3769.0,6603.9,2895.6,5648.0,5108.0,26500.0,0.0,0.0,0.0,0.0,0.0,26500.0,1.0,26.0,26500.0,CF2,1,0.6667
2.0,6.0,5.0,2.0,2.0,1.0,3769.0,2520.0,3073.4,5648.0,5108.0,26500.0,0.0,0.0,0.0,0.0,0.0,6147.8,1.0,26.0,26500.0,CF3,1,0.6667
2.0,6.0,5.0,2.0,9.0,1.0,3769.0,480.0,0.0,5969.0,5633.0,10550.0,0.0,0.0,0.0,0.0,0.0,8550.0,2.0,22.0,10550.0,original,3,0.4125
2.0,6.0,5.0,2.0,9.0,1.0,3769.0,12065.4,0.0,5969.0,5633.0,10550.0,0.0,0.0,0.0,0.0,0.0,8550.0,2.0,22.0,10550.0,CF1,3,0.4125
2.0,4.0,5.0,2.0,9.0,1.0,3769.0,4094.2,0.0,5969.0,5633.0,10550.0,0.0,0.0,0.0,0.0,0.0,8550.0,2.0,22.0,10550.0,CF2,3,0.4125
2.0,6.0,5.0,2.0,9.0,1.0,3769.0,7340.1,0.0,5969.0,5633.0,10550.0,0.0,0.0,0.0,0.0,0.0,8550.0,2.0,22.0,10550.0,CF3,3,0.4125
2.0,4.0,3.0,2.0,2.0,2.0,3769.0,3310.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1.0,33.0,26200.0,original,12,0.5801
2.0,4.0,3.0,2.0,2.0,2.0,3769.0,3310.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,2684.5,26200.0,1.7,33.0,26200.0,CF1,12,0.5801
2.0,4.0,3.0,2.0,2.0,2.0,3769.0,5695.9,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,0.0,26200.0,1.0,33.0,26200.0,CF2,12,0.5801
2.0,4.0,3.0,2.0,2.0,2.0,3769.0,3310.0,0.0,3315.0,3171.0,26200.0,0.0,0.0,0.0,0.0,1504.7,26200.0,2.9,33.0,26200.0,CF3,12,0.5801
2.0,6.0,1.0,3.0,2.0,1.0,3769.0,2856.0,0.0,6863.0,5759.0,2460.0,0.0,0.0,0.0,234.0,0.0,4260.0,1.0,38.0,2694.0,original,16,0.7675
2.0,6.0,1.0,3.0,2.9,1.0,3769.0,2856.0,0.0,6863.0,5759.0,2460.0,0.0,0.0,0.0,234.0,0.0,4260.0,1.0,38.0,2694.0,CF1,16,0.7675
2.0,6.5,1.0,3.0,2.0,1.0,3769.0,2856.0,0.0,6863.0,5759.0,2460.0,17201.9,0.0,0.0,234.0,0.0,4260.0,1.0,38.0,2694.0,CF2,16,0.7675
2.0,6.0,1.0,3.0,2.0,1.0,3769.0,2856.0,0.0,6863.0,5759.0,2460.0,0.0,0.0,0.0,234.0,0.0,4260.0,3.2,38.0,2694.0,CF3,16,0.7675
2.0,7.0,5.0,2.0,9.0,1.0,3769.0,460.0,0.0,8102.0,7298.0,19960.0,0.0,0.0,0.0,0.0,0.0,19960.0,1.0,25.0,19960.0,original,24,0.6891
2.0,7.0,5.0,2.0,6.8,1.0,3769.0,11344.4,0.0,8102.0,7298.0,19960.0,0.0,0.0,0.0,0.0,0.0,19960.0,1.0,21.9,19960.0,CF1,24,0.6891
1.1,7.0,5.0,2.0,1.8,1.0,12713.9,12501.5,0.0,60412.1,7298.0,19960.0,0.0,0.0,0.0,0.0,0.0,19960.0,1.0,25.0,19960.0,CF2,24,0.6891
2.0,7.0,3.5,5.0,4.0,1.0,3769.0,4051.9,0.0,8102.0,7298.0,19960.0,0.0,0.0,0.0,0.0,0.0,19960.0,4.8,25.0,19960.0,CF3,24,0.6891
1.0,7.0,1.0,2.0,1.0,1.0,7597.0,1440.0,0.0,11845.0,10225.0,12000.0,0.0,0.0,0.0,0.0,0.0,12000.0,2.0,33.0,12000.0,original,28,0.7166
1.0,7.0,1.0,2.0,1.0,1.0,7597.0,1440.0,0.0,11845.0,10225.0,12000.0,0.0,3424.0,0.0,0.0,0.0,12000.0,2.0,27.9,12000.0,CF1,28,0.7166
