feature,mean_abs_shap,rank
debt_financial,0.17573924113257847,1
h19_pers_income2,0.1712138976036239,2
housing_debt_balance,0.08371882905009402,3
h19_cin,0.06764531761692354,4
employment_status,0.06276108094688833,5
h19_din,0.060851328135739464,6
housing_tenure,0.03636598002728885,7
total_debt,0.035457288173027145,8
age,0.03150796848781532,9
h19_pers_income1,0.024020401830965946,10
sex,0.01780752325863135,11
education,0.017379557574486882,12
debt_lease,0.011532412961198021,13
debt_card,0.011149506940694755,14
region,0.010672687288203487,15
h19_pers_income4,0.009376913562906786,16
marital_status,0.002358665813909734,17
debt_private,0.001694549525279424,18
debt_other,0.0012888189867313125,19
employment_type,5.9355225526321844e-05,20
debt_credit,0.0,21
